Puzzle: 6 hard
Amount: 100
Result details: ./Result/exploration_with_no_r.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 3.0
	Average = 1.19
	Standard Deviation = 0.8330066026148893
Average Performance = 77.66717325227965%
Runtime:
	Average = 11.819519526958466
	Total = 1181.9519526958466
Optimal = 21/100 (21.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
25.  ID = 1,611,457 , Fitness = 1.0000    (Iteration: 1000), Runtime = 16.3702, Preprocessed = 18/36 ( 50.00%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
26.  ID = 1,615,209 , Fitness = 2.0000    (Iteration: 1000), Runtime = 17.1820, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
27.  ID = 1,700,818 , Fitness = 1.0000    (Iteration: 1000), Runtime = 14.3934, Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
28.  ID = 1,744,893 , Fitness = 1.0000    (Iteration: 1000), Runtime = 15.8504, Preprocessed = 18/36 ( 50.00%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
29.  ID = 1,771,362 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.6763, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
30.  ID = 1,807,054 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0121 , Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
31.  ID = 1,821,140 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.1458, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
32.  ID = 1,823,388 , Fitness = 0.0000    (Iteration:    9), Runtime = 0.1243 , Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
33.  ID = 1,831,701 , Fitness = 1.0000    (Iteration: 1000), Runtime = 14.2063, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
34.  ID = 1,905,338 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.3612, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
35.  ID = 1,925,806 , Fitness = 1.0000    (Iteration: 1000), Runtime = 14.2665, Preprocessed = 14/36 ( 38.89%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
36.  ID = 1,945,389 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0105 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
37.  ID = 1,945,835 , Fitness = 2.0000    (Iteration: 1000), Runtime = 14.7251, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
38.  ID = 1,966,415 , Fitness = 0.0000    (Iteration:    2), Runtime = 0.0232 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
39.  ID = 10,016,966, Fitness = 1.0000    (Iteration: 1000), Runtime = 11.4502, Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
40.  ID = 10,021,279, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.0464, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
41.  ID = 10,043,693, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.3885, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
42.  ID = 10,068,202, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0101 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
43.  ID = 10,070,131, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.7021, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
44.  ID = 10,085,101, Fitness = 0.0000    (Iteration:    2), Runtime = 0.0201 , Preprocessed = 29/36 ( 80.56%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
45.  ID = 10,087,831, Fitness = 0.0000    (Iteration:   13), Runtime = 0.1556 , Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
46.  ID = 10,091,029, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.8739, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
47.  ID = 10,137,351, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.7091, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
48.  ID = 10,144,426, Fitness = 3.0000    (Iteration: 1000), Runtime = 13.2615, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
49.  ID = 10,152,033, Fitness = 3.0000    (Iteration: 1000), Runtime = 14.9765, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
50.  ID = 10,158,551, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.1745, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
51.  ID = 10,182,657, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.8583, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
52.  ID = 10,220,885, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.4348, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
53.  ID = 10,235,976, Fitness = 0.0000    (Iteration:    4), Runtime = 0.0470 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
54.  ID = 10,242,960, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.5273, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
55.  ID = 10,291,921, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.9050, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
56.  ID = 10,300,640, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.3001, Preprocessed = 21/36 ( 58.33%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
57.  ID = 10,402,342, Fitness = 0.0000    (Iteration:    7), Runtime = 0.0805 , Preprocessed = 30/36 ( 83.33%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
58.  ID = 10,443,070, Fitness = 0.0000    (Iteration:   12), Runtime = 0.1529 , Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
59.  ID = 10,481,179, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.2899, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
60.  ID = 10,508,417, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.0912, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
61.  ID = 10,527,286, Fitness = 0.0000    (Iteration:   15), Runtime = 0.1931 , Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 5.0000    , Performance = 100.00%
62.  ID = 10,535,581, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.3432, Preprocessed = 25/36 ( 69.44%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
63.  ID = 10,549,902, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.4760, Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
64.  ID = 10,552,573, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.0403, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
65.  ID = 10,579,331, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.3439, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
66.  ID = 10,587,298, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.8247, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
67.  ID = 10,589,578, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.7346, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
68.  ID = 10,591,262, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.6752, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
69.  ID = 10,598,632, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.5807, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
70.  ID = 10,611,067, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.9090, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
71.  ID = 10,643,789, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.8609, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
72.  ID = 10,672,197, Fitness = 2.0000    (Iteration: 1000), Runtime = 12.7845, Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
73.  ID = 10,683,662, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0110 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
74.  ID = 10,696,087, Fitness = 3.0000    (Iteration: 1000), Runtime = 14.6009, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
75.  ID = 10,701,184, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.0109, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
76.  ID = 10,713,003, Fitness = 1.0000    (Iteration: 1000), Runtime = 11.3042, Preprocessed = 26/36 ( 72.22%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
77.  ID = 10,754,124, Fitness = 0.0000    (Iteration:    2), Runtime = 0.0215 , Preprocessed = 30/36 ( 83.33%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
78.  ID = 10,781,445, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0088 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
79.  ID = 10,795,215, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.4481, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
80.  ID = 10,816,466, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.4904, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
81.  ID = 10,847,337, Fitness = 0.0000    (Iteration:   18), Runtime = 0.2472 , Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
82.  ID = 10,875,569, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.3170, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
83.  ID = 10,896,847, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.1267, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
84.  ID = 10,930,056, Fitness = 0.0000    (Iteration:   20), Runtime = 0.2369 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
85.  ID = 11,043,803, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.2419, Preprocessed = 13/36 ( 36.11%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
