Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_rand.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.58
	Standard Deviation = 1.1151681487560519
Average Performance = 70.51418439716312%
Runtime:
	Average = 11.929167556762696
	Total = 1192.9167556762695
Optimal = 19/100 (19.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
30.  ID = 1,807,054 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.3977, Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 2.0000    , Performance =  50.00%
31.  ID = 1,821,140 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.5673, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
32.  ID = 1,823,388 , Fitness = 1.0000    (Iteration: 1000), Runtime = 13.1756, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
33.  ID = 1,831,701 , Fitness = 2.0000    (Iteration: 1000), Runtime = 17.1479, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
34.  ID = 1,905,338 , Fitness = 2.0000    (Iteration: 1000), Runtime = 15.2790, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
35.  ID = 1,925,806 , Fitness = 2.0000    (Iteration: 1000), Runtime = 15.5940, Preprocessed = 14/36 ( 38.89%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
36.  ID = 1,945,389 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0101 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
37.  ID = 1,945,835 , Fitness = 2.0000    (Iteration: 1000), Runtime = 15.6032, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
38.  ID = 1,966,415 , Fitness = 0.0000    (Iteration:    1), Runtime = 0.0126 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
39.  ID = 10,016,966, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.5294, Preprocessed = 27/36 ( 75.00%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
40.  ID = 10,021,279, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.2815, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
41.  ID = 10,043,693, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.5631, Preprocessed = 16/36 ( 44.44%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
42.  ID = 10,068,202, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0103 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
43.  ID = 10,070,131, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.5035, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
44.  ID = 10,085,101, Fitness = 0.0000    (Iteration:    6), Runtime = 0.0625 , Preprocessed = 29/36 ( 80.56%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
45.  ID = 10,087,831, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.5003, Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
46.  ID = 10,091,029, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.3122, Preprocessed = 12/36 ( 33.33%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
47.  ID = 10,137,351, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.0732, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
48.  ID = 10,144,426, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.3196, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
49.  ID = 10,152,033, Fitness = 3.0000    (Iteration: 1000), Runtime = 16.2822, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
50.  ID = 10,158,551, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.7656, Preprocessed = 11/36 ( 30.56%), Preprocessed Fitness = 6.0000    , Performance =  50.00%
51.  ID = 10,182,657, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.4979, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
52.  ID = 10,220,885, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.3380, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
53.  ID = 10,235,976, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0105 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
54.  ID = 10,242,960, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.9961, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
55.  ID = 10,291,921, Fitness = 4.0000    (Iteration: 1000), Runtime = 16.1747, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  42.86%
56.  ID = 10,300,640, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.0394, Preprocessed = 21/36 ( 58.33%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
57.  ID = 10,402,342, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0151 , Preprocessed = 30/36 ( 83.33%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
58.  ID = 10,443,070, Fitness = 0.0000    (Iteration:   88), Runtime = 1.1502 , Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
59.  ID = 10,481,179, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.6838, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
60.  ID = 10,508,417, Fitness = 4.0000    (Iteration: 1000), Runtime = 16.0300, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  42.86%
61.  ID = 10,527,286, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.0247, Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
62.  ID = 10,535,581, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.6939, Preprocessed = 25/36 ( 69.44%), Preprocessed Fitness = 3.0000    , Performance =  66.67%
63.  ID = 10,549,902, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.9886, Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 4.0000    , Performance =  50.00%
64.  ID = 10,552,573, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.5744, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
65.  ID = 10,579,331, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.1523, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
66.  ID = 10,587,298, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.0093, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
67.  ID = 10,589,578, Fitness = 4.0000    (Iteration: 1000), Runtime = 14.0996, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 7.0000    , Performance =  42.86%
68.  ID = 10,591,262, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.7390, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  50.00%
69.  ID = 10,598,632, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.9447, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
70.  ID = 10,611,067, Fitness = 1.0000    (Iteration: 1000), Runtime = 15.1454, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
71.  ID = 10,643,789, Fitness = 3.0000    (Iteration: 1000), Runtime = 16.4694, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  50.00%
72.  ID = 10,672,197, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.0199, Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
73.  ID = 10,683,662, Fitness = 0.0000    (Iteration:   10), Runtime = 0.1281 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
74.  ID = 10,696,087, Fitness = 3.0000    (Iteration: 1000), Runtime = 17.3336, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
75.  ID = 10,701,184, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.6220, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
76.  ID = 10,713,003, Fitness = 0.0000    (Iteration:   79), Runtime = 0.9435 , Preprocessed = 26/36 ( 72.22%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
77.  ID = 10,754,124, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0099 , Preprocessed = 30/36 ( 83.33%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
78.  ID = 10,781,445, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0108 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
79.  ID = 10,795,215, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.0494, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
80.  ID = 10,816,466, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.8271, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
81.  ID = 10,847,337, Fitness = 0.0000    (Iteration:  330), Runtime = 4.0956 , Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
82.  ID = 10,875,569, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.4087, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
83.  ID = 10,896,847, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.9933, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  50.00%
84.  ID = 10,930,056, Fitness = 0.0000    (Iteration:   83), Runtime = 1.0509 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
85.  ID = 11,043,803, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.4464, Preprocessed = 13/36 ( 36.11%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
86.  ID = 11,052,019, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.8549, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
