Puzzle: 6 hard
Amount: 100
Result details: ./Result/k_counter_1.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 10
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 2.0
	Average = 0.77
	Standard Deviation = 0.6760917097554149
Average Performance = 86.45643363728468%
Runtime:
	Average = 11.325661160945891
	Total = 1132.5661160945892
Optimal = 37/100 (37.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
       2690907035, 1369471309, 1674358413, 2285054591, 2492735773,
       3611281222, 4196677884, 3513152941,  925839394, 2368833029,
       2751364064,  934451140,  279675805, 3451740850, 1739729416,
         39490565,  881213232, 2996906746, 3575358953, 3851085281,
       1441561623, 3644541046,  980597121, 4097396241, 2699648402,
        453973741,   41470139, 3247771031, 1042684850, 2866053922,
       3132837938, 2847758214, 3872737293, 3386013241, 3937715726,
        448987564, 2858020871, 1125377122, 4286631401, 2896939185,
         15224139, 2526327393, 1530477554, 4236129606, 4095328839,
       4038651280, 1037190800, 3523686311,  321295576, 3498237208,
       3582087055, 3308871895, 1397749445, 3473854829, 2801753903,
       3720854311, 1952908483,  850389531, 1691271516,  122493995,
       4219531093, 1432271005, 4178681330, 1821449383, 3404520972,
       2036021590, 2291587821, 4251611887,  554987658,  949677512,
       2677295786,  577473817, 1772329118,  740815468, 1772491383,
       2375749755, 4118033607,  838461102, 2594344409, 3290014137,
       2972026353, 1457831802, 3886499599, 3196439904, 3033891095,
        237893419,  940237582, 2507360391, 3894566829, 2787792610,
       3244484929, 4124081230,  834792813,  957375588, 2335116905,
        352493911,  683643057, 3273035505, 3063511192, 1095280750,
       2423987376, 2403206890, 1079985752,   89261329, 1188036942,
        484145887, 2736192969, 1451987155,  850023471,   14302399,
       2892980756, 2098440378, 2849701272, 1694409717, 1657832129,
       1382661864,  389630367, 3811071441, 1592740740,  473423950,
        775358958, 4182963989,  752975038, 3610084208, 1256118470,
         61555787, 2686712818, 1127950998, 3005231296, 2281913059,
       3959031431,   55785859, 3409812449,  731363658, 1567346524,
        282096848, 3651971461, 2284228845, 1574160244, 3933994768,
       3856497841, 2552263428, 2769967634, 1442495657,    8257970,
       4064669405, 2982442707, 3296514329, 3009365491, 1335198666,
       2615455150, 3619954549, 2311305095, 1494354514, 3241962977,
       1912860822, 1076401456, 1833548587, 3557451480, 3233887632,
       2492762202,   80985467, 2787701585, 3899273258, 2304891423,
       4202400408, 1600535754,  721125614, 3784349576, 2640610818,
       4265898181,   90233334,  821042989,  169097312, 2795406765,
       3221223209, 3861619632, 1465220144, 2048606045,  261381232,
       4252533787, 3512544910, 3943925133, 2638582955,  394861536,
       2182697358, 3606935422, 3925789509, 3637429460, 2216134635,
       3849865632, 2188016585, 2331537837, 2618810994, 3994102325,
        731674405, 3820186707, 1966511414, 1867233650, 3560050252,
       2181437146,  485343051, 2575489234, 4100226819,  427797595,
       2432500688, 3788371347, 4182176478,  404265744, 4164425367,
        222020750, 3528347453,  262689015, 1798864497, 2479986284,
       2344141117, 2160337300,  526974756, 2383194559, 2688026691,
       4243128182, 1301277738, 2782606701, 2271720557, 1046607379,
        597767008, 2720956366, 1319661788, 1074442356,  852340297,
       4229485175,  224273641, 1332171097,  803898428, 2660805153,
        501386359, 3730845498, 3141742667, 3675348017, 1814994540,
       3750147825, 1790444660, 2741469862, 1602292338, 2865814317,
       3546582472,  587745717, 1049651104, 1772884066,  434317249,
        557575369,  346793265,  199066992, 1700672486, 1553945573,
        421857909, 3581510239, 1642700786, 1627959270, 1235922599,
        192697661,    6238899, 3764394311,  802154073, 3257538998,
       2407858966,  108655383, 2538923514,  660469131,  634532783,
       2930507977, 4056999122,  297206534, 2504735602, 4166615032,
       3759406276,  833697867, 4029796376, 1295491896, 2653920959,
       3349246323,  510082047, 3076458243, 3323359062, 2292490307,
       1841483482, 3291155489, 3930404850, 3705578911, 1979051249,
       1367218350, 3943317910, 3029373543,  709602417, 3618021242,
       1776770133, 2004684731, 1585477580, 4002608379, 1911446382,
        849743413,  652897410,   49068619, 1069054724,  925531177,
        858845929, 3808223767, 1416516788, 1156420411, 2194977805,
       3255064243, 2296441906, 1339402934, 2992110010, 1957136046,
       1898592525,  253170235, 3005307123,  592483365, 2764959734,
       1226374091, 3364212668, 2497536094, 2646585575, 2214523498,
        280440787, 3068281662, 2724192477, 3267904979, 3255374783,
       2853234413, 2353168033, 2404082367, 3152888960,  482308511,
       2946324216, 3007214427,  166670331, 2678982947, 1136746452,
       1373119179, 1304341145,  319854829, 2321057551, 1034857525,
       2119457377, 2184168160, 2745970824,   42344967, 4008830916,
       1446438441, 4073001116,  877568328, 4025998028, 1020586212,
